"a, an","indefinite, article","а,",
mall,Noun,торговый центр,They went shopping at the mall on the weekend.
man,Noun,человек,The man standing at the corner is waiting for a taxi.
manage,Verb,управлять,She has to manage a team of 20 employees.
management,Noun,управление,The management team made strategic decisions for the company.
manager,Noun,управляющий делами,The project manager is responsible for the successful completion of the project.
manner,Noun,манера,She spoke in a polite and respectful manner.
many,Determiner Pronoun,много,There are many books on the shelf.
map,Noun Verb,карта,She unfolded the map to find the nearest subway station.
March,Noun,март,The cherry blossoms bloom in March.
mark,Verb Noun,отметка,He marked the important points in the textbook with a highlighter.
market,Noun Verb,рынок,They visited the local market to buy fresh produce.
marketing,Noun,маркетинг,The company invested heavily in marketing to promote their new product.
marriage,Noun,брак,They celebrated their 25th wedding anniversary.
married,Adjective,в браке,They have been happily married for 10 years.
marry,Verb,выйти замуж,She plans to marry her longtime partner next summer.
mass,Noun Adjective,масса,The mass of the object affects its gravitational pull.
massive,Adjective,массивный,They moved the massive stone sculpture to the museum.
master,Noun Verb,мастер,He is a master of his craft and has won several awards.
match (contest/correspond),Noun Verb,матч (конкурс / соответствует),They watched a football match on TV.
matching,Adjective,согласование,She wore a matching outfit to the party.
material,Noun Adjective,материал,The artist used recycled materials to create the sculpture.
mathematics,Noun,математика,He enjoys solving complex mathematics problems.
maths,Noun,математика,She is studying maths at university.
matter,Noun Verb,иметь значение,It doesn't matter what color shirt you wear.
maximum,Adjective Noun,максимальная,The maximum speed limit on this road is 60 mph.
May,Noun,май,May is the fifth month of the year.
may (modal verb),Verb,может модальный,You may bring a guest to the party.
maybe,Adverb,может быть,Maybe we should go out for dinner tonight.
me,Pronoun,меня,She gave me a gift for my birthday.
meal,Noun,еда,He prepared a delicious meal for his guests.
mean,Verb,значит,What does this word mean in English?
meaning,Noun,смысл,The meaning of this symbol is unclear.
means,Noun,средства,He doesn't have the means to buy a new car right now.
meanwhile,Adverb,между тем,"She worked on her project; meanwhile, he prepared dinner."
measure,Verb Noun,мера,She used a ruler to measure the length of the table.
measurement,Noun,измерение,The measurement of temperature is displayed in Celsius.
meat,Noun,мясо,"They had steak for dinner, but she prefers vegetarian dishes."
media,Noun,СМИ,The media reported on the latest political scandal.
medical,Adjective,медицинская,She is pursuing a medical degree to become a doctor.
medicine,Noun,лекарство,She took some medicine to relieve her headache.
medium,Adjective Noun,средний,He ordered a medium pizza for himself.
meet,Verb,встреча,Let's meet for coffee tomorrow morning.
meeting,Noun,встреча,The board meeting will take place at 3 p.m.
melt,Verb,плавиться,The snow began to melt as the temperature rose.
member,Noun,член,He is a valued member of the team.
memory,Noun,память,She has a great memory for faces and names.
mental,Adjective,умственный,The mental health of employees is a top priority for the company.
mention,Verb Noun,упоминание,He mentioned his vacation plans during the meeting.
menu,Noun,меню,The restaurant offers a wide range of options on its menu.
mess,Noun Verb,беспорядок,She cleaned up the mess in her room before her parents arrived.
message,Noun,сообщение,She received a text message from her friend.
metal,Noun,металл,The car is made of metal.
method,Noun,метод,She developed a new method for solving mathematical problems.
metre,Noun,метр,The length of the room is ten metres.
middle,Noun Adjective,средний,The book is in the middle of the shelf.
midnight,Noun,полночь,They celebrated New Year's Eve at midnight.
might,Modal Verb,может модальный,I might go to the party if I finish my work on time.
mild,Adjective,незначительный,The symptoms of the flu are mild in her case.
mile,Noun,мили,He ran a marathon and covered 26 miles.
military,Adjective Noun,военные,He served in the military for 10 years.
milk,Noun,молоко,She poured a glass of milk for her cereal.
million,Number,миллионов,She won a million dollars in the lottery.
mind,Noun Verb,разум,He couldn't make up his mind about which movie to watch.
mine (belongs to me),Pronoun,мина (принадлежит мне),This book is mine; I bought it last week.
mine (hole in the ground),Noun,шахта (отверстие в земле),They went down into the mine to extract coal.
mineral,Noun,минеральная,The region is rich in mineral resources.
minimum,Adjective Noun,минимальный,The minimum age for voting is 18 years old.
minister,Noun,министр,The prime minister addressed the nation in his speech.
minor,Adjective,незначительный,He suffered only minor injuries in the accident.
minority,Noun,меньшинство,The rights of minorities should be protected.
minute,Noun,минут,She arrived just a few minutes before the meeting started.
mirror,Noun,зеркало,She looked at herself in the mirror before leaving the house.
miss,Verb,Мисс,Miss Johnson is a great teacher.
missing,Adjective,отсутствует,There are some missing pages in the book.
mission,Noun,миссия,Their mission is to provide aid to the homeless.
mistake,Noun Verb,ошибка,He made a mistake in his calculations.
mix,Verb Noun,смешивание,She mixed all the ingredients in a bowl.
mixed,Adjective,смешанный,The audience had mixed reactions to the performance.
mixture,Noun,смесь,The recipe calls for a mixture of flour and sugar.
mobile,Adjective Noun,мобильный,She bought a new mobile phone with advanced features.
model,Noun Verb,модель,The fashion model walked down the runway with confidence.
modern,Adjective,современный,The city has many modern buildings and skyscrapers.
modify,Verb,Modify,You can modify the settings to suit your preferences.
moment,Noun,момент,He captured the perfect moment with his camera.
Monday,Noun,понедельник,I have a meeting scheduled for Monday morning.
money,Noun,Деньги,She withdrew some money from the ATM.
monitor,Noun Verb,монитор,He adjusted the settings on the computer monitor.
monkey,Noun,обезьяна,The monkey swung from tree to tree in the jungle.
month,Noun,месяц,His birthday is in the month of August.
mood,Noun,настроение,She was in a good mood after receiving good news.
moon,Noun,Луна,They admired the full moon in the night sky.
moral,Adjective Noun,моральный,The story teaches an important moral lesson.
more,Determiner Pronoun Adverb,Больше,I need more time to complete the project.
morning,Noun,утро,She enjoys taking a walk in the morning.
most,Determiner Pronoun Adverb,большинство,Most people prefer coffee over tea.
mostly,Adverb,в основном,They mostly eat vegetarian food.
mother,Noun,мама,Her mother is a doctor at the local hospital.
motor,Noun Adjective,двигатель,The car's motor started making strange noises.
motorcycle,Noun,мотоцикл,He rode his motorcycle to work every day.
mount,Verb,крепление,She mounted the painting on the wall.
mountain,Noun,гора,They climbed to the top of the mountain.
mouse,Noun,мышь,She used a wireless mouse with her laptop.
mouth,Noun,рот,"He opened his mouth to speak, but no words came out."
move,Verb Noun,шаг,She made a strategic move in the game.
movement,Noun,движение,The movement of the dancers was graceful and synchronized.
movie,Noun,фильм,They went to the cinema to watch a movie.
much,Determiner Pronoun Adverb,много,She doesn't have much time to spare.
mud,Noun,грязь,They got their shoes covered in mud after walking in the rain.
multiple,Adjective,множественный,The company offers multiple services to its clients.
multiply,Verb,умножить,"To find the total, multiply the number by 5."
mum,Noun,мама,Her mum baked a delicious cake for her birthday.
murder,Noun Verb,убийство,The detective solved the murder mystery.
muscle,Noun,мускул,He pulled a muscle while lifting weights at the gym.
museum,Noun,музей,They visited the art museum on their trip to the city.
music,Noun,Музыка,She has a deep appreciation for classical music.
musical,Adjective Noun,музыкальный,The school is known for its outstanding musical productions.
musician,Noun,музыкант,He is a talented musician who plays the piano.
must,Modal Verb,должны модальный,You must submit your application by the deadline.
my,Determiner,мой,This is my book; I bought it yesterday.
myself,Pronoun,себя,I painted the room myself.
mysterious,Adjective,загадочный,The old house has a mysterious atmosphere.
mystery,Noun,тайна,The detective was determined to solve the mystery.
nail,Noun,гвоздь,He hammered the nail into the wall to hang a picture.
name,Noun Verb,название,She couldn't remember the name of the restaurant.
narrative,Noun Adjective,повествовательный,The book is written in a narrative style.
narrow,Adjective Verb,сужать,The road narrows as it approaches the bridge.
nation,Noun,нация,The country is a multicultural nation with diverse traditions.
national,Adjective Noun,национальный,She proudly sang the national anthem at the event.
native,Adjective Noun,родной,He is a native speaker of Spanish.
natural,Adjective,натуральный,She prefers to use natural products for skincare.
naturally,Adverb,естественно,Cats are naturally curious animals.
nature,Noun,природа,They spent the weekend camping in nature.
near,Preposition Adjective Adverb,возле,The supermarket is near their house.
nearly,Adverb,около,She has nearly finished reading the book.
neat,Adjective,аккуратный,He keeps his desk clean and neat.
necessarily,Adverb,обязательно,Not all expensive products are necessarily of high quality.
necessary,Adjective,нужно,It is necessary to follow the instructions carefully.
neck,Noun,шея,She wears a necklace around her neck.
need,Verb Noun Modal Verb,необходимость,I need to buy some groceries for dinner.
needle,Noun,игла,She threaded the needle to sew the buttons on her shirt.
negative,Adjective Noun,отрицательный,He received negative feedback on his performance.
neighbour,Noun,сосед,She borrowed some sugar from her neighbour.
neighbourhood,Noun,окрестности,They enjoy taking walks in their neighbourhood.
neither,Determiner Pronoun Adverb,ни,Neither of them could solve the puzzle.
nerve,Noun,нерв,He took a deep breath to calm his nerves before the presentation.
nervous,Adjective,нервное,She felt nervous before her job interview.
net,Noun,сеть,The fisherman caught a lot of fish in his net.
network,Noun,сеть,She connected her computer to the office network.
never,Adverb,никогда,I have never been to Japan.
nevertheless,Adverb,тем не менее,"The weather was bad; nevertheless, they decided to go out."
new,Adjective,новый,They moved into a new apartment last week.
news,Noun,Новости,She watched the news to stay informed about current events.
newspaper,Noun,газета,He reads the newspaper every morning with his coffee.
next,Adjective Adverb Noun,следующий,The next train to arrive is the express train.
next to,Preposition,следующий на,Her office is next to the conference room.
nice,Adjective,отлично,She is a nice person who always helps others.
night,Noun,ночь,They went for a walk under the starry night sky.
nightmare,Noun,страшный сон,She had a nightmare and woke up sweating.
nine,Number,девять,There are nine planets in our solar system.
nineteen,Number,19,He celebrated his nineteenth birthday with a party.
ninety,Number,девяносто,She scored ninety out of one hundred on the test.
no,Exclamation Determiner,нет,"No, I can't come to the party tonight."
no one,Pronoun,ни один. Никто,No one likes to be left out.
nobody,Pronoun,никто,Nobody answered the phone.
noise,Noun,шум,The noise from the construction site was unbearable.
noisy,Adjective,шумный,The classroom was so noisy that the teacher couldn't hear the students.
none,Pronoun,никто,None of the applicants met the qualifications for the job.
nor,Conjunction/Adverb,ни,"She didn't like coffee, nor did she drink tea."
normal,Adjective/Noun,нормальный,It's normal to feel nervous before a big presentation.
normally,Adverb,как обычно,"He normally takes the bus to work, but today he decided to walk."
north,Noun/Adjective/Adverb,к северу,The compass needle points north. She lives in a small town in the north of the country.
northern,Adjective,северный,We took a trip to the northern part of the country to see the aurora borealis.
nose,Noun,нос,He blew his nose into a tissue.
not,Adverb,не,I'm not sure if I can come to the party tonight.
note,Noun/Verb,нота,She wrote a note to remind herself of the important meeting. Please note that the deadline has been extended.
nothing,Pronoun,ничего,There's nothing left in the fridge.
notice,Verb/Noun,уведомление,Please give me some notice if you're planning to cancel the meeting. I saw a notice on the bulletin board about the upcoming event.
notion,Noun,понятие,The notion of time travel has fascinated people for centuries.
novel,Noun,роман,She enjoys reading historical novels.
November,Noun,ноябрь,November is usually a rainy month in this region.
now,Adverb/Conjunction,сейчас,I'm busy now. We can discuss it later.
nowhere,Adverb,нигде,"I looked everywhere, but I couldn't find my keys. They seem to be nowhere."
nuclear,Adjective,ядерной,The country is developing its nuclear energy program.
number,"Noun, Verb",число,The number of participants in the event exceeded our expectations. Can you give me your phone number?
numerous,Adjective,многочисленные,The company has received numerous awards for its innovative products.
nurse,Noun,медсестра,The nurse took the patient's temperature and blood pressure.
nut,Noun,орех,She cracked open a nut and ate the kernel inside.
obey,Verb,подчиниться,It's important for children to learn to obey their parents.
object,"Noun, Verb",объект,The object on the table caught my attention. She objected to the proposal because she thought it was unfair.
objective,"Noun, Adjective",задача,Our objective is to increase sales by 10% this year. He has a very objective approach to problem-solving.
obligation,Noun,обязательство,Paying taxes is an obligation of every citizen.
observation,Noun,наблюдение,The scientist made an interesting observation during the experiment.
observe,Verb,наблюдать,It's important to observe the rules of the game.
obtain,Verb,получать,She was able to obtain a copy of the rare book.
obvious,Adjective,очевидный,It's obvious that she doesn't want to participate.
obviously,Adverb,очевидно,"Obviously, the answer to the question is yes."
occasion,Noun,случай,The wedding was a joyous occasion for everyone involved.
occasionally,Adverb,время от времени,I only smoke occasionally.
occur,Verb,происходить,Accidents can occur if you're not careful.
ocean,Noun,океан,They went for a swim in the ocean.
o'clock,Adverb,час,Let's meet at five o'clock.
October,Noun,октября,The festival takes place every year in October.
odd,Adjective,странный,She had an odd feeling that something wasn't right.
of,Preposition,из,She received a box of chocolates for her birthday.
off,"Adverb, Preposition",от,He turned off the lights before leaving the room. The book fell off the shelf.
offence,Noun,преступление,Committing theft is considered a criminal offence.
offend,Verb,обижать,I didn't mean to offend you with my comments.
offensive,Adjective,наступление,His offensive language was inappropriate for the workplace.
offer,"Verb, Noun",предложение,She offered to help me with my project. I received a job offer from a different company.
office,Noun,офис,He works in a small office downtown.
officer,Noun,сотрудник,The police officer directed traffic during the parade.
official,"Adjective, Noun",официальный,The government issued an official statement regarding the incident. She is an official representative of the company.
often,Adverb,довольно часто,I often go for a walk in the evening.
oh,Exclamation,ой,"Oh, I forgot to bring my umbrella!"
oil,Noun,масло,"Can you pass me the bottle of oil, please?"
OK,"Exclamation, Adjective/Adverb",хорошо,"OK, let's get started. He did an OK job on the project."
old,Adjective,старый,My grandparents live in an old house.
old-fashioned,Adjective,старомодный,She prefers to dress in old-fashioned clothing.
on,"Preposition, Adverb",на,The book is on the table. I put on my coat before going outside.
once,"Adverb, Conjunction",один раз,"I visited Paris once. Once I finish this project, I can take a break."
one,"Number, Determiner, Pronoun",один,I have one sister. One of the books is missing.
onion,Noun,лук,Chop the onion and add it to the pot.
online,"Adjective, Adverb",онлайн,You can order the product online. I'm taking an online course.
only,"Adjective, Adverb",только,She's the only person who knows the answer. I can only come to the party for a short time.
onto,Preposition,на,He climbed onto the roof to fix the antenna.
open,"Adjective, Verb",открыто,The door is open. Please open the window.
opening,Noun,открытие,The opening of the new restaurant attracted a large crowd.
operate,Verb,работать,The machine is easy to operate.
operation,Noun,операция,The doctor performed a successful operation on the patient.
opinion,Noun,мнение,Everyone has the right to express their opinion.
opponent,Noun,противник,He faced a tough opponent in the boxing match.
opportunity,Noun,возможность,Don't miss this opportunity to showcase your talent.
oppose,Verb,оппонировать,I strongly oppose the new policy.
opposed,Adjective,противоположен,Their opinions on the matter are opposed.
opposite,"Adjective, Adverb, Preposition, Noun",напротив,Her opinion is completely opposite to mine. The store is located opposite the park.
opposition,Noun,оппозиция,The opposition party criticized the government's decision.
option,Noun,вариант,We have several options to choose from.
or,Conjunction,или,Do you want tea or coffee?
orange,"Noun, Adjective",оранжевый,She ate an orange for breakfast. She painted her room in an orange color.
order,"Noun, Verb",порядок,Please place your order at the counter. He ordered a pizza for delivery.
ordinary,Adjective,обычный,She lived an ordinary life in a small town.
organ,Noun,орган,The heart is a vital organ.
organization,Noun,организация,The non-profit organization provides support for the homeless.
organize,Verb,организовать,They need to organize a fundraiser for the charity.
organized,Adjective,организованная,Her desk is always clean and organized.
organizer,Noun,организатор,The event organizer did a great job planning the conference.
origin,Noun,происхождения,The origin of the species is a topic of great debate among scientists.
original,"Adjective, Noun",оригинал,She kept the original copy of the document. He's an original thinker.
originally,Adverb,первоначально,The story was originally written in French and later translated into English.
other,"Adjective, Pronoun",Другой,I need to buy some other groceries. Can I use your other pen?
otherwise,Adverb,в противном случае,"You should study for the exam; otherwise, you might not pass."
ought,Modal Verb,должен,You ought to apologize for your behavior.
our,Determiner,наш,Our house is located near the park.
ours,Pronoun,наш,The blue car is ours.
ourselves,Pronoun,сами,We decorated the room ourselves.
out,Adverb/Preposition,вне,Please step out of the room. She went out for a walk.
outcome,Noun,исход,The outcome of the meeting was positive.
outdoor,Adjective,на открытом воздухе,They enjoyed outdoor activities during their vacation.
outdoors,Adverb,на открытом воздухе,Let's have a picnic outdoors.
outer,Adjective,внешний,The outer layer of the cake is decorated with chocolate.
outline,"Noun, Verb",контур,The outline of the drawing needs to be more defined. Please outline the main points of your presentation.
outside,"Adverb, Preposition, Noun, Adjective",вне,She waited outside the store. The children played outside. The outside temperature was very hot.
oven,Noun,духовой шкаф,The cookies are baking in the oven.
over,"Preposition, Adverb",над,The bird flew over the house. She turned the page over.
overall,"Adjective, Adverb",в общем и целом,"The overall performance of the team was excellent. Overall, I'm satisfied with the results."
owe,Verb,задолжать,I owe you a favor for helping me with the project.
own,"Adjective/Pronoun, Verb",своя,We have our own house. They own a successful business.
owner,Noun,владелец,The owner of the restaurant greeted us at the door.
pace,"Noun, Verb",темп,He walked at a slow pace. Please pace yourself and don't rush.
pack,"Verb, Noun",пакет,She packed her suitcase for the trip. I bought a pack of gum at the store.
package,"Noun, Verb",пакет,The package arrived in the mail today. Can you package the items for shipping?
page,Noun,страница,Please turn to page 10 of the book.
pain,Noun,боль,He felt a sharp pain in his leg.
painful,Adjective,болезненный,The injury was very painful.
paint,"Verb, Noun",покрасить,She likes to paint landscapes. I need to buy some blue paint for the walls.
painter,Noun,художник,The museum displayed works by famous painters.
painting,Noun,картина,The painting was hung on the wall.
pair,Noun,пара,I need to buy a new pair of shoes.
palace,Noun,дворец,The royal family lives in a beautiful palace.
pale,Adjective,бледные,Her face turned pale when she heard the news.
pan,Noun,кастрюля,She cooked pasta in a large pan.
panel,Noun,панель,The control panel is located on the side of the machine.
pants,Noun,штаны,He bought a new pair of pants for the party.
paper,Noun,бумага,Please hand in your paper by the end of the day.
paragraph,Noun,пункт,"The essay should have an introduction, body paragraphs, and a conclusion."
parent,Noun,родитель,His parents are very supportive.
park,"Noun, Verb",парк,They went for a walk in the park. Can you park the car in the garage?
parking,Noun,стоянка,"The parking lot was full, so we had to find street parking."
parliament,Noun,парламент,Members of parliament debated the new law.
part,Noun,часть,Can you pass me that part of the puzzle?
participant,Noun,участник,There were many participants in the competition.
participate,Verb,принимать участие,I'm going to participate in the charity run.
particular,Adjective,частности,She has a particular way of doing things.
particularly,Adverb,в частности,"I love all kinds of music, but I particularly enjoy classical music."
partly,Adverb,частично,The project was partly successful.
partner,Noun,партнер,He's my business partner.
party,Noun,партия,We're going to a birthday party tonight.
pass,"Verb, Noun",проходить,Please pass the salt. The runner made a quick pass to his teammate.
passage,Noun,прохождение,The narrow passage led to a hidden garden.
passenger,Noun,пассажир,The passenger boarded the plane and found his seat.
passion,Noun,страсть,Music is her passion.
passport,Noun,заграничный паспорт,Don't forget to bring your passport when you travel abroad.
past,"Adjective, Noun, Prep., Adverb",прошлое,"In the past, she worked as a teacher. We walked past the store."
path,Noun,дорожка,The path through the forest was narrow.
patient,"Noun, Adjective",терпеливый,"The doctor was patient with his young patients. She's waiting for the results, so she needs to be patient."
pattern,Noun,шаблон,The dress had a floral pattern.
pay,"Verb, Noun",платить,How much do I need to pay for this item? He received his pay at the end of the month.
payment,Noun,оплата,The payment for the services is due next week.
peace,Noun,мир,They signed a treaty to establish peace between the two countries.
peaceful,Adjective,мирное,The park is a peaceful place to relax.
pen,Noun,ручка,Can I borrow your pen?
pencil,Noun,карандаш,She used a pencil to sketch the drawing.
penny,Noun,пенни,He found a penny on the ground.
pension,Noun,пенсия,He receives a monthly pension from the government.
people,Noun,люди,The concert attracted a large crowd of people.
pepper,Noun,перец,Can you pass me the salt and pepper?
per,Preposition,в,The cost per unit is $10.
per cent,Noun Adjective/Adverb,процентов,The interest rate is 5 per cent.
percentage,Noun,процент,The percentage of students who passed the exam was high.
perfect,Adjective,идеальный,She gave a perfect performance.
perfectly,Adverb,в совершенстве,The dress fits perfectly.
perform,Verb,выполнять,The band will perform at the concert tonight.
performance,Noun,производительность,The actor's performance was outstanding.
perhaps,Adverb,возможно,Perhaps we should consider another option.
period,Noun,период,The company experienced a difficult period of financial loss.
permanent,Adjective,постоянный,He was offered a permanent position at the company.
permission,Noun,разрешение,You need permission to access this restricted area.
permit,"Verb, Noun",разрешать,"The sign says ""No Parking,"" so parking is not permitted here."
person,Noun,человек,He's a kind and generous person.
personal,Adjective,личный,She keeps her personal belongings in a locked drawer.
personality,Noun,личность,Her warm and outgoing personality made her popular among her colleagues.
personally,Adverb,лично,I will deliver the package personally.
perspective,Noun,перспективы,Let's consider this issue from a different perspective.
persuade,Verb,уговаривать,She tried to persuade him to change his mind.
pet,Noun,домашнее животное,She has a pet dog named Max.
petrol,Noun,бензин,I need to fill up the car with petrol.
phase,Noun,фаза,The project is currently in the planning phase.
phenomenon,Noun,явление,The Northern Lights are a natural phenomenon.
philosophy,Noun,философия,She studied philosophy in college.
phone,"Noun, Verb",телефон,I heard the phone ringing. Can you phone me later?
photo,Noun,фото,I took a photo of the beautiful sunset.
photograph,"Noun, Verb",фотография,The photograph captured a moment of joy. She likes to photograph nature.
photographer,Noun,фотограф,The photographer took portraits of the models.
photography,Noun,фотография,She's studying photography at the university.
phrase,Noun,фраза,Can you explain the meaning of this phrase?
physical,Adjective,физическое,Regular exercise is important for physical health.
physics,Noun,физика,She has a degree in physics.
piano,Noun,пианино,She plays the piano beautifully.
pick,"Verb, Noun",выбирать,Can you pick up some groceries on your way home?
picture,"Noun, Verb",картина,The picture on the wall caught my attention. She likes to picture herself in a successful career.
piece,Noun,кусок,Can I have a piece of cake?
pig,Noun,свинья,The farmer raises pigs on his farm.
pile,"Noun, Verb",свая,The books were stacked in a pile on the floor.
pilot,Noun,пилот,The pilot announced that we were about to land.
pin,"Noun, Verb",штырь,She pinned her hair back with a bobby pin.
pink,"Adjective, Noun",розовый,She wore a pink dress to the party. The sky turned pink during the sunset.
pipe,Noun,труба,The plumber fixed the broken pipe.
pitch,Noun,подача,The pitcher threw the ball with great accuracy.
place,"Noun, Verb",место,Let's find a place to eat dinner. Can you place the dishes in the dishwasher?
plain,Adjective,гладкий,The walls of the room were painted in a plain white color.
plan,"Noun, Verb",план,She has a detailed plan for the project. We need to plan our trip in advance.
plane,Noun,самолет,They flew to their destination on a plane.
planet,Noun,планета,Earth is the third planet from the sun.
planning,Noun,планирование,The planning phase of the project took several weeks.
plant,"Noun, Verb",растение,She planted flowers in her garden. The factory manufactures electronic plants.
plastic,"Noun, Adjective",пластик,He put the leftover food in a plastic container. The table was made of plastic.
plate,Noun,пластина,She placed the dinner plate on the table.
platform,Noun,платформа,The train arrived at platform 3.
play,"Verb, Noun",играть,The children played in the park. She enjoys playing the piano.
player,Noun,игрок,He is a talented basketball player.
pleasant,Adjective,приятный,"The weather was pleasant, so they went for a walk."
please,"Exclamation, Verb",пожалуйста,Please close the door behind you. Can you please pass me the salt?
pleased,Adjective,довольный,I'm pleased with the outcome of the project.
pleasure,Noun,удовольствие,It was a pleasure to meet you.
plenty,Pronoun,много,There's plenty of food for everyone.
plot,"Noun, Verb",участок,She bought a plot of land to build her dream house. The movie has an intriguing plot.
plus,"Preposition, Adjective, Conjunction, Noun",плюс,"Two plus two equals four. He ordered a coffee with milk plus sugar. We have two options: we can go to the park or to the movies, plus we can also stay home. I received a bonus on top of my salary, which was a nice plus."
pocket,Noun,карман,He kept his wallet in his back pocket.
poem,Noun,стих,She recited a beautiful poem.
poet,Noun,поэт,He is a famous poet known for his lyrical style.
poetry,Noun,поэзия,She enjoys reading and writing poetry.
point,"Noun, Verb",точка,Can you point to the location on the map? She made a good point during the discussion.
pointed,Adjective,указал,He pointed to the sign indicating the direction.
poison,"Noun, Verb",яд,The plant contains a deadly poison. Be careful not to poison yourself.
poisonous,Adjective,ядовитый,The snake's bite is poisonous.
police,Noun,полиция,The police officer responded to the emergency call.
policeman,Noun,полицейский,The policeman directed traffic at the intersection.
policy,Noun,политика,The company has a strict dress code policy.
polite,Adjective,вежливый,She always speaks in a polite manner.
political,Adjective,политическая,He has a strong interest in political issues.
politician,Noun,политик,The politician delivered a powerful speech.
politics,Noun,политика,The debate focused on various aspects of politics.
pollution,Noun,загрязнение,The pollution in the city is a growing concern.
pool,Noun,бассейн,They spent the afternoon swimming in the pool.
poor,Adjective,бедных,The poor village lacked basic amenities.
pop,"Noun, Adjective",поп,She enjoys listening to pop music. He bought a bottle of pop from the store.
popular,Adjective,популярный,The movie became very popular among teenagers.
popularity,Noun,популярность,The popularity of the band grew after their successful album release.
population,Noun,численность населения,The population of the city has been increasing rapidly.
port,Noun,порт,The ship docked at the port.
portrait,Noun,портрет,She painted a beautiful portrait of her grandmother.
pose,Verb,поза,The model posed for the photographer.
position,"Noun, Verb",позиция,He assumed a standing position. She was offered a position as a manager.
positive,"Adjective, Noun",положительный,He has a positive attitude towards life. The test results came back positive.
possess,Verb,обладать,She possesses a rare talent for playing the piano.
possession,Noun,владение,His car is one of his most prized possessions.
possibility,Noun,возможность,There's a possibility of rain tomorrow.
possible,Adjective,возможно,It is possible that he will arrive late.
possibly,Adverb,возможно,He could possibly be the best candidate for the job.
post,"Noun, Verb",почта,I need to mail this letter at the post office. She posted a picture on social media.
poster,Noun,плакат,The movie poster displayed the release date and cast.
pot,Noun,горшок,She planted flowers in a clay pot.
potato,Noun,картошка,She mashed the potatoes for dinner.
potential,"Adjective, Noun",потенциал,He has the potential to become a great leader. The company is exploring the potential of expanding into new markets.
pound,Noun,фунт,The weight of the package is five pounds.
pour,Verb,наливать,She poured herself a glass of water.
poverty,Noun,бедность,The government aims to reduce poverty in the country.
powder,Noun,порошок,She sprinkled some powder on her face.
power,"Noun, Verb",мощность,The power went out during the storm. He powered through the difficult situation.
powerful,Adjective,мощный,The boxer delivered a powerful punch.
practical,Adjective,практическое,Learning how to cook is a practical skill.
practice,Noun,практика,She needs to practice playing the piano.
practise,Verb,практика,He practices the guitar every day.
praise,"Noun, Verb",хвалить,She received praise for her hard work. He praised his students for their achievements.
pray,Verb,молиться,They pray before every meal.
prayer,Noun,молитва,He recited a prayer at the ceremony.
predict,Verb,прогнозировать,The weather forecast predicts rain tomorrow.
prediction,Noun,прогнозирование,Her prediction about the stock market turned out to be accurate.
prefer,Verb,предпочитать,I prefer tea over coffee.
pregnant,Adjective,беременная,She is pregnant with her first child.
preparation,Noun,подготовка,The chef started the preparation of the meal.
prepare,Verb,подготовить,She needs to prepare the presentation for tomorrow.
prepared,Adjective,подготовлены,They were well-prepared for the exam.
presence,Noun,присутствие,His presence in the room was commanding.
present,"Adjective, Noun, Verb",настоящее время,I gave her a present for her birthday. Can you please present your findings to the committee?
presentation,Noun,презентация,She delivered an engaging presentation to the audience.
preserve,Verb,сохранять,They used special techniques to preserve the ancient artifacts.
president,Noun,президент,The president delivered a speech to the nation.
press,"Verb, Noun",Нажмите,Press the button to start the machine. She works as a journalist for a local press.
pressure,Noun,давление,He felt pressure to succeed in his career.
pretend,Verb,притворяться,The children pretended to be superheroes.
pretty,"Adjective, Adverb",хорошенький,She wore a pretty dress to the party. The flowers in the garden are blooming pretty.
prevent,Verb,предотвращать,Regular exercise can help prevent heart disease.
previous,Adjective,предыдущий,She had a previous experience working in a similar role.
previously,Adverb,предварительно,He had previously visited that city.
price,"Noun, Verb",цена,The price of the product has increased. She priced the items for sale.
priest,Noun,священник,The priest performed the wedding ceremony.
primary,Adjective,первичный,Education is a primary concern for parents.
prime,Adjective,простое число,The number 7 is a prime number.
prince,Noun,принц,The prince inherited the throne from his father.
princess,Noun,принцесса,She dressed up as a princess for Halloween.
principle,Noun,принцип,He believes in living by a set of principles.
print,"Verb, Noun",Распечатать,Can you please print this document for me? She works in the printing industry.
printer,Noun,принтер,The printer ran out of ink.
printing,Noun,печать,The printing of the book is complete.
priority,Noun,приоритет,Safety is our top priority.
prison,Noun,тюрьма,He was sentenced to five years in prison.
prisoner,Noun,заключенный,The prisoner escaped from the jail.
privacy,Noun,Конфиденциальность,She values her privacy and doesn't share personal information online.
private,Adjective,частный,They had a private conversation in the office.
prize,Noun,приз,She won the first prize in the competition.
probably,Adverb,наверное,He will probably arrive later in the evening.
problem,Noun,проблема,We need to find a solution to this problem.
procedure,Noun,процедура,The doctor explained the procedure before the surgery.
process,"Noun, Verb",обработать,The manufacturing process is efficient. She needs time to process the information.
produce,"Verb, Verb",производить,The factory produces cars. They are working to produce a new documentary film.
producer,Noun,режиссер,She is a film producer.
product,Noun,товар,The company sells a variety of products.
production,Noun,производство,The production of the play was a success.
profession,Noun,профессия,He chose teaching as his profession.
professional,"Adjective, Noun",профессиональный,She is a professional dancer. He has a professional approach to his work.
professor,Noun,профессор,Professor Johnson teaches physics at the university.
profile,Noun,профиль,I created a profile on a social media platform.
profit,Noun,прибыль,The company made a large profit last year.
